Complaint ID,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company,State,Submitted via,Date sent to company,Company response to consumer,Timely response?
11092096,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,Experian Information Solutions Inc.,NY,Web,12/10/2024,In progress,Yes
11092099,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",NY,Web,12/10/2024,In progress,Yes
11092100,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes
11092101,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Problem with personal statement of dispute,,"EQUIFAX, INC.",CA,Web,12/10/2024,In progress,Yes
11092102,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,Web,12/10/2024,In progress,Yes
11092104,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",PA,Web,12/10/2024,In progress,Yes
11092105,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes
11092114,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,"EQUIFAX, INC.",IL,Web,12/10/2024,In progress,Yes
11092116,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Web,12/10/2024,In progress,Yes
11092118,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Problem with personal statement of dispute,,"EQUIFAX, INC.",SC,Web,12/10/2024,In progress,Yes
10568621,10/24/2024,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,"CITIBANK, N.A.",IL,Web,11/25/2024,Closed with monetary relief,Yes
10904044,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
11092121,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,Web,12/10/2024,In progress,Yes
11092133,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,Web,12/10/2024,In progress,Yes
11092140,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,NC,Web,12/10/2024,In progress,Yes
11092073,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,Web,12/10/2024,In progress,Yes
11092075,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WA,Web,12/10/2024,In progress,Yes
10903641,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes
